Modell,Horizont,MAE,RMSE,MASE,MAPE %
Prophet + Wetter (Lag),8 h,60.097,79.289,1.022,83.818
Prophet + Wetter (Lag),24 h,70.33,88.931,1.199,157.048
Prophet + Wetter (Lag),48 h,68.335,87.901,1.162,221.983
Prophet + Wetter (Lag),72 h,64.048,86.474,1.088,229.985
Prophet + Wetter+Co (Lag),8 h,33.468,45.036,0.569,78.37
Prophet + Wetter+Co (Lag),24 h,49.608,64.852,0.846,169.551
Prophet + Wetter+Co (Lag),48 h,60.098,80.649,1.023,307.15
Prophet + Wetter+Co (Lag),72 h,65.523,89.233,1.114,333.135
Seasonal Naive,8 h,66.842,83.676,1.132,102.617
Seasonal Naive,24 h,66.947,85.151,1.14,160.402
Seasonal Naive,48 h,68.573,90.512,1.168,232.371
Seasonal Naive,72 h,66.214,92.441,1.127,238.192
