Modell,Horizont,MAE,RMSE,MASE,MAPE %
"Seasonal Naive (Vortag, m=24)",8 h,86.75,88.65946086007968,1.464562556892951,88.20305243365048
"Seasonal Naive (Vortag, m=24)",24 h,92.5,95.97352065370254,1.5616373085025703,75.1740694712435
"Seasonal Naive (Vortag, m=24)",48 h,114.89583333333333,125.72150107811048,1.9397364316197467,75.80375407677002
"Seasonal Naive (Vortag, m=24)",72 h,166.76388888888889,188.37223049648858,2.8154022767553095,80.55285618099019
"Seasonal Naive (Vortag, m=24)",ganzes Jahr,63.58586853120243,98.54764239634842,1.073492590182327,120.62126130468593
Prophet + Perfect-Prognosis-Wetter,8 h,10.375327968622482,11.323417388857882,0.17516215398649787,10.801634834036673
Prophet + Perfect-Prognosis-Wetter,24 h,22.46491868908285,29.90150271455035,0.3792654611605236,15.935579760626453
Prophet + Perfect-Prognosis-Wetter,48 h,33.31001906396575,40.11875536332206,0.562358578564549,20.98761095099121
Prophet + Perfect-Prognosis-Wetter,72 h,54.30277629077302,68.46607847921929,0.9167701774155672,24.102041998554924
Prophet + Perfect-Prognosis-Wetter,ganzes Jahr,40.2929941352801,62.43179349254351,0.6802491125722018,105.73895914318774
Prophet + Lagged/Persistenz-Wetter,8 h,37.72193002073813,43.97994527044693,0.6368429542606249,34.85628861869945
Prophet + Lagged/Persistenz-Wetter,24 h,61.93714443283462,70.55231972972169,1.0456578976046143,45.63607224579149
Prophet + Lagged/Persistenz-Wetter,48 h,86.20151865093489,97.39659256027855,1.4553027845932982,53.931904555653766
Prophet + Lagged/Persistenz-Wetter,72 h,137.83405318268885,163.57332927885756,2.3269924306185334,62.20041851089003
Prophet + Lagged/Persistenz-Wetter,ganzes Jahr,74.05086895402793,104.40175250276576,1.2501686452502132,126.20878964618785
