Station,n_Fenster,MAE,MAE_naive24h,MASE,RMSE,MAPE_%
Huairou,336,7.5305,51.5867,0.146,13.1484,28.8393
Wanliu,336,7.7674,59.661,0.1302,14.4856,32.6477
Wanshouxigong,336,7.8772,62.9534,0.1251,14.5998,27.1148
Gucheng,336,8.3285,59.514,0.1399,15.1114,27.6761
Nongzhanguan,336,8.6083,63.1245,0.1364,14.0672,27.4322
Dingling,336,8.7347,52.7416,0.1656,17.4614,37.2888
Changping,336,8.8091,52.8004,0.1668,15.3415,29.5954
Tiantan,336,8.9173,59.4281,0.1501,21.2918,57.2105
Shunyi,336,9.0325,59.751,0.1512,15.683,29.3629
Dongsi,336,9.1558,62.9302,0.1455,22.7734,53.4952
Aotizhongxin,336,9.8148,59.8705,0.1639,22.4411,50.4111
Guanyuan,336,9.8571,58.8262,0.1676,21.1028,56.6834
GESAMT,4032,8.7028,58.5989,0.149,17.6286,38.1464
