ds,y,yhat
2016-03-03 00:00:00,164.0,162.23828
2016-03-03 01:00:00,198.0,170.46486
2016-03-03 02:00:00,267.0,188.50002
2016-03-03 03:00:00,275.0,185.44142
2016-03-03 04:00:00,274.0,190.08205
2016-03-03 05:00:00,255.0,187.76173
2016-03-03 06:00:00,254.0,188.81642
2016-03-03 07:00:00,253.0,189.02736
2016-03-03 08:00:00,260.0,193.14064
2016-03-03 09:00:00,267.0,198.83595
2016-03-03 10:00:00,292.0,206.32423
2016-03-03 11:00:00,307.0,213.91798
2016-03-03 12:00:00,316.0,220.24611
2016-03-03 13:00:00,328.0,219.82423
2016-03-03 14:00:00,336.0,235.32814
2016-03-03 15:00:00,348.0,224.25392
2016-03-03 16:00:00,358.0,220.87892
2016-03-03 17:00:00,344.0,218.13673
2016-03-03 18:00:00,341.0,224.35939
2016-03-03 19:00:00,342.0,223.3047
2016-03-03 20:00:00,345.0,231.4258
2016-03-03 21:00:00,347.0,235.01173
2016-03-03 22:00:00,371.0,233.53517
2016-03-03 23:00:00,434.0,236.38283
2016-03-04 00:00:00,438.0,235.75002
2016-03-04 01:00:00,433.0,229.31642
2016-03-04 02:00:00,418.0,215.28908
2016-03-04 03:00:00,366.0,201.15627
2016-03-04 04:00:00,341.0,201.0508
2016-03-04 05:00:00,326.0,207.16798
2016-03-04 06:00:00,324.0,211.59767
2016-03-04 07:00:00,317.0,220.77345
2016-03-04 08:00:00,321.0,218.76955
2016-03-04 09:00:00,330.0,226.6797
2016-03-04 10:00:00,352.0,232.16408
2016-03-04 11:00:00,383.0,240.1797
2016-03-04 12:00:00,389.0,248.19533
2016-03-04 13:00:00,379.0,255.15627
2016-03-04 14:00:00,345.0,248.51173
2016-03-04 15:00:00,321.0,239.8633
2016-03-04 16:00:00,330.0,232.16408
2016-03-04 17:00:00,318.0,227.52345
2016-03-04 18:00:00,344.0,212.65236
2016-03-04 19:00:00,385.0,186.60158
2016-03-04 20:00:00,409.0,169.83205
2016-03-04 21:00:00,384.0,144.73047
2016-03-04 22:00:00,311.0,72.64258
2016-03-04 23:00:00,110.0,49.182373
2016-03-05 00:00:00,101.0,28.780762
2016-03-05 01:00:00,162.0,14.371092
2016-03-05 02:00:00,121.0,8.306639
2016-03-05 03:00:00,90.0,4.7734337
2016-03-05 04:00:00,75.0,4.404293
