ds,y,TEMP,DEWP,PRES,WSPM,RAIN,wd_sin,wd_cos
2013-03-01 00:00:00,4.0,-0.7,-18.8,1023.0,4.4,0.0,-0.38268343236508956,0.9238795325112868
2013-03-01 01:00:00,8.0,-1.1,-18.2,1023.2,4.7,0.0,0.0,1.0
2013-03-01 02:00:00,7.0,-1.1,-18.2,1023.5,5.6,0.0,-0.38268343236508956,0.9238795325112868
2013-03-01 03:00:00,6.0,-1.4,-19.4,1024.5,3.1,0.0,-0.7071067811865477,0.7071067811865474
2013-03-01 04:00:00,3.0,-2.0,-19.5,1025.2,2.0,0.0,0.0,1.0
2013-03-01 05:00:00,5.0,-2.2,-19.6,1025.6,3.7,0.0,0.0,1.0
2013-03-01 06:00:00,3.0,-2.6,-19.1,1026.5,2.5,0.0,0.3826834323650898,0.9238795325112867
2013-03-01 07:00:00,3.0,-1.6,-19.1,1027.4,3.8,0.0,-0.38268343236508956,0.9238795325112868
2013-03-01 08:00:00,3.0,0.1,-19.2,1028.3,4.1,0.0,-0.38268343236508956,0.9238795325112868
2013-03-01 09:00:00,3.0,1.2,-19.3,1028.5,2.6,0.0,0.0,1.0
2013-03-01 10:00:00,3.0,1.9,-19.4,1028.2,3.6,0.0,-0.38268343236508956,0.9238795325112868
2013-03-01 11:00:00,3.0,2.9,-20.5,1028.2,3.7,0.0,0.0,1.0
2013-03-01 12:00:00,3.0,3.9,-19.7,1027.3,5.1,0.0,-0.38268343236508956,0.9238795325112868
2013-03-01 13:00:00,3.0,5.3,-19.3,1026.2,4.3,0.0,-0.7071067811865477,0.7071067811865474
2013-03-01 14:00:00,6.0,6.0,-19.6,1025.9,4.4,0.0,-0.7071067811865477,0.7071067811865474
2013-03-01 15:00:00,8.0,6.2,-18.6,1025.7,2.8,0.0,0.3826834323650898,0.9238795325112867
2013-03-01 16:00:00,9.0,5.9,-18.1,1025.6,3.9,0.0,-0.38268343236508956,0.9238795325112868
2013-03-01 17:00:00,10.0,4.3,-18.7,1026.3,2.8,0.0,0.3826834323650898,0.9238795325112867
2013-03-01 18:00:00,11.0,3.1,-18.4,1027.4,2.1,0.0,0.3826834323650898,0.9238795325112867
2013-03-01 19:00:00,8.0,2.3,-18.4,1028.3,2.8,0.0,0.0,1.0
2013-03-01 20:00:00,11.0,1.7,-17.3,1029.1,2.1,0.0,0.0,1.0
2013-03-01 21:00:00,12.0,0.6,-16.7,1030.1,0.8,0.0,0.9238795325112867,0.38268343236508984
2013-03-01 22:00:00,15.0,0.9,-17.4,1030.5,1.8,0.0,0.9238795325112867,0.38268343236508984
2013-03-01 23:00:00,24.0,-0.2,-17.4,1030.5,1.4,0.0,0.9238795325112867,0.38268343236508984
2013-03-02 00:00:00,22.0,-0.4,-17.6,1031.0,1.4,0.0,0.9238795325112867,0.38268343236508984
