ds,y,TEMP,DEWP,PRES,WSPM,RAIN,wd_sin,wd_cos
2013-03-01 00:00:00,3.0,-2.3,-19.7,1020.8,0.5,0.0,1.0,6.123233995736766e-17
2013-03-01 01:00:00,3.0,-2.5,-19.0,1021.3,0.7,0.0,0.9238795325112867,0.38268343236508984
2013-03-01 02:00:00,3.0,-3.0,-19.9,1021.3,0.2,0.0,0.9238795325112867,0.38268343236508984
2013-03-01 03:00:00,3.0,-3.6,-19.1,1021.8,1.0,0.0,0.3826834323650898,0.9238795325112867
2013-03-01 04:00:00,3.0,-3.5,-19.4,1022.3,2.1,0.0,0.0,1.0
2013-03-01 05:00:00,3.0,-4.5,-19.5,1022.6,1.7,0.0,-0.38268343236508956,0.9238795325112868
2013-03-01 06:00:00,4.0,-4.5,-19.5,1023.4,1.8,0.0,-0.38268343236508956,0.9238795325112868
2013-03-01 07:00:00,3.0,-2.1,-20.0,1024.6,2.5,0.0,-0.7071067811865477,0.7071067811865474
2013-03-01 08:00:00,9.0,-0.2,-20.5,1025.2,2.8,0.0,-0.38268343236508956,0.9238795325112868
2013-03-01 09:00:00,11.0,0.6,-20.4,1025.3,3.8,0.0,-0.38268343236508956,0.9238795325112868
2013-03-01 10:00:00,9.0,2.0,-21.3,1025.1,2.2,0.0,0.0,1.0
2013-03-01 11:00:00,3.0,3.6,-20.7,1024.8,2.7,0.0,0.3826834323650898,0.9238795325112867
2013-03-01 12:00:00,3.0,4.8,-19.7,1023.8,3.0,0.0,0.0,1.0
2013-03-01 13:00:00,3.0,5.8,-20.6,1022.8,4.4,0.0,0.7071067811865476,0.7071067811865476
2013-03-01 14:00:00,9.0,5.9,-20.5,1022.6,3.6,0.0,0.0,1.0
2013-03-01 15:00:00,3.0,6.0,-20.4,1022.6,3.2,0.0,0.0,1.0
2013-03-01 16:00:00,3.0,5.4,-20.0,1022.8,2.2,0.0,0.7071067811865476,0.7071067811865476
2013-03-01 17:00:00,6.0,3.5,-20.8,1023.4,2.0,0.0,0.9238795325112867,0.38268343236508984
2013-03-01 18:00:00,4.0,2.7,-20.0,1024.2,3.6,0.0,0.7071067811865476,0.7071067811865476
2013-03-01 19:00:00,7.0,2.0,-19.3,1025.1,1.7,0.0,0.9238795325112867,0.38268343236508984
2013-03-01 20:00:00,8.0,1.1,-18.3,1025.9,1.7,0.0,0.7071067811865476,0.7071067811865476
2013-03-01 21:00:00,7.0,1.6,-17.4,1026.7,2.3,0.0,1.0,6.123233995736766e-17
2013-03-01 22:00:00,5.0,0.4,-17.4,1027.2,0.0,0.0,1.0,6.123233995736766e-17
2013-03-01 23:00:00,7.0,0.3,-16.6,1027.0,1.5,0.0,0.7071067811865476,0.7071067811865476
2013-03-02 00:00:00,11.0,-0.5,-16.4,1027.4,3.0,0.0,-0.7071067811865475,-0.7071067811865477
2013-03-02 01:00:00,12.0,-1.8,-16.7,1027.9,0.9,0.0,-0.38268343236508967,-0.9238795325112868
2013-03-02 02:00:00,13.0,-1.7,-17.4,1027.7,1.5,0.0,-0.38268343236508967,-0.9238795325112868
2013-03-02 03:00:00,14.0,-2.5,-17.4,1027.7,1.7,0.0,-0.7071067811865475,-0.7071067811865477
2013-03-02 04:00:00,14.0,-3.4,-17.0,1027.5,0.8,0.0,-0.7071067811865477,0.7071067811865474
2013-03-02 05:00:00,13.0,-3.5,-16.8,1026.9,0.5,0.0,0.0,1.0
2013-03-02 06:00:00,16.0,-3.5,-15.8,1026.1,0.9,0.0,0.3826834323650898,0.9238795325112867
2013-03-02 07:00:00,19.0,-3.3,-14.4,1026.7,0.9,0.0,-0.38268343236508956,0.9238795325112868
2013-03-02 08:00:00,22.0,-2.0,-15.1,1026.4,1.0,0.0,0.3826834323650898,0.9238795325112867
2013-03-02 09:00:00,29.0,-0.2,-16.6,1026.3,0.5,0.0,-0.9238795325112868,-0.3826834323650895
2013-03-02 10:00:00,46.0,0.6,-17.2,1025.8,1.3,0.0,-0.7071067811865475,-0.7071067811865477
2013-03-02 11:00:00,30.0,1.3,-17.1,1025.4,1.1,0.0,0.9238795325112867,-0.3826834323650897
2013-03-02 12:00:00,31.0,1.9,-17.1,1024.2,1.6,0.0,-0.9238795325112868,-0.3826834323650895
2013-03-02 13:00:00,30.0,2.3,-17.3,1022.6,0.2,0.0,0.7071067811865476,-0.7071067811865475
2013-03-02 14:00:00,30.0,3.0,-17.3,1021.9,0.0,0.0,1.2246467991473532e-16,-1.0
2013-03-02 15:00:00,38.0,2.9,-16.8,1020.9,1.2,0.0,-0.9238795325112868,-0.3826834323650895
2013-03-02 16:00:00,42.0,2.5,-17.1,1020.6,0.5,0.0,-0.9238795325112866,0.38268343236509
2013-03-02 17:00:00,44.0,2.1,-16.4,1020.2,0.7,0.0,1.0,6.123233995736766e-17
2013-03-02 18:00:00,44.0,1.5,-16.0,1020.4,0.7,0.0,0.7071067811865476,0.7071067811865476
2013-03-02 19:00:00,47.0,0.3,-15.3,1020.0,0.6,0.0,0.7071067811865476,0.7071067811865476
2013-03-02 20:00:00,52.0,0.0,-15.2,1019.9,0.2,0.0,0.7071067811865476,0.7071067811865476
2013-03-02 21:00:00,69.0,-1.2,-13.7,1019.7,1.0,0.0,0.0,1.0
2013-03-02 22:00:00,72.0,-2.1,-13.3,1019.1,0.4,0.0,0.3826834323650898,0.9238795325112867
2013-03-02 23:00:00,62.0,-2.2,-13.4,1018.2,1.1,0.0,0.3826834323650898,0.9238795325112867
2013-03-03 00:00:00,73.0,-2.4,-13.0,1017.4,1.0,0.0,0.0,1.0
2013-03-03 01:00:00,50.0,-3.8,-12.2,1016.5,1.4,0.0,-0.38268343236508956,0.9238795325112868
2013-03-03 02:00:00,60.0,-3.8,-12.7,1015.1,0.8,0.0,0.3826834323650898,0.9238795325112867
2013-03-03 03:00:00,60.0,-4.0,-13.4,1014.1,0.7,0.0,0.7071067811865476,0.7071067811865476
2013-03-03 04:00:00,64.0,-4.8,-13.2,1013.6,0.2,0.0,0.3826834323650898,0.9238795325112867
2013-03-03 05:00:00,56.0,-5.6,-13.0,1013.2,0.5,0.0,0.9238795325112867,0.38268343236508984
2013-03-03 06:00:00,53.0,-5.7,-13.1,1013.2,0.0,0.0,0.7071067811865476,0.7071067811865476
2013-03-03 07:00:00,52.0,-3.3,-12.8,1013.5,0.8,0.0,0.7071067811865476,0.7071067811865476
2013-03-03 08:00:00,58.0,-0.3,-11.4,1012.8,0.5,0.0,-0.38268343236508956,0.9238795325112868
2013-03-03 09:00:00,81.0,3.4,-12.6,1012.5,0.8,0.0,0.3826834323650899,-0.9238795325112867
2013-03-03 10:00:00,84.0,6.5,-12.2,1011.4,2.1,0.0,0.7071067811865476,-0.7071067811865475
2013-03-03 11:00:00,106.0,9.0,-11.6,1010.4,1.4,0.0,0.9238795325112867,-0.3826834323650897
2013-03-03 12:00:00,110.0,12.2,-13.7,1009.1,1.8,0.0,0.7071067811865476,-0.7071067811865475
2013-03-03 13:00:00,113.0,15.6,-13.8,1007.5,5.4,0.0,-0.7071067811865477,0.7071067811865474
2013-03-03 14:00:00,100.0,16.6,-14.1,1006.9,5.3,0.0,-0.7071067811865477,0.7071067811865474
2013-03-03 15:00:00,68.0,17.0,-14.9,1006.8,2.3,0.0,-0.7071067811865477,0.7071067811865474
2013-03-03 16:00:00,32.0,16.1,-14.4,1006.9,0.7,0.0,0.9238795325112867,0.38268343236508984
2013-03-03 17:00:00,21.0,13.9,-14.1,1007.6,0.6,0.0,0.3826834323650899,-0.9238795325112867
2013-03-03 18:00:00,16.0,12.4,-14.4,1009.0,0.8,0.0,1.0,6.123233995736766e-17
2013-03-03 19:00:00,18.0,8.9,-13.5,1010.0,0.9,0.0,-0.7071067811865477,0.7071067811865474
2013-03-03 20:00:00,24.0,7.7,-12.2,1010.1,0.5,0.0,0.9238795325112867,0.38268343236508984
2013-03-03 21:00:00,29.0,6.9,-12.3,1010.6,0.7,0.0,0.0,1.0
2013-03-03 22:00:00,23.0,6.8,-11.9,1011.2,1.5,0.0,0.7071067811865476,0.7071067811865476
2013-03-03 23:00:00,30.0,8.6,-11.4,1012.1,2.0,0.0,0.7071067811865476,0.7071067811865476
2013-03-04 00:00:00,25.0,9.2,-12.6,1013.2,2.4,0.0,0.9238795325112867,0.38268343236508984
2013-03-04 01:00:00,16.0,7.3,-12.5,1014.2,2.1,0.0,0.7071067811865476,0.7071067811865476
2013-03-04 02:00:00,8.0,6.1,-13.5,1014.4,1.4,0.0,-0.7071067811865477,0.7071067811865474
2013-03-04 03:00:00,6.0,6.6,-14.8,1014.2,4.0,0.0,0.0,1.0
2013-03-04 04:00:00,7.0,4.8,-12.2,1014.6,2.6,0.0,-0.7071067811865477,0.7071067811865474
2013-03-04 05:00:00,3.0,5.4,-12.1,1015.4,4.7,0.0,-0.7071067811865477,0.7071067811865474
2013-03-04 06:00:00,10.0,4.2,-12.3,1016.1,3.0,0.0,0.0,1.0
2013-03-04 07:00:00,12.0,6.3,-12.3,1016.8,0.8,0.0,0.0,1.0
2013-03-04 08:00:00,12.0,8.9,-12.9,1017.4,1.6,0.0,0.9238795325112867,0.38268343236508984
2013-03-04 09:00:00,16.0,10.2,-13.8,1017.6,3.8,0.0,-0.7071067811865477,0.7071067811865474
2013-03-04 10:00:00,14.0,11.4,-14.4,1017.1,4.2,0.0,-0.38268343236508956,0.9238795325112868
